* Перечень компонентов: "160x05PA.lay6" / 25.06.2024 23:20:54
*
* №	Обозн	Номин
*
1	C	104
2	C	104
3	C	200uF35v
4	C	104
5	C	200uF35v
6	C	104
7	C	103
8	C	103
9	C	104
10	C	1.5n
11	C	104
12	C	104
13	C	104
14	C	104
15	C	152
16	C	102
17	C	104
18	C	104
19	C	104
20	C	104
21	C	104
22	C	104
23	C	104
24	C	104
25	C	104
26	C	104
27	C	104
28	C	104
29	C	104
30	C	200uF35v
31	C	106
32	C	104
33	C	104
34	C	104
35	C	200uF35v
36	C	104
37	C	104
38	C	104
39	C	104
40	C	104
41	C	104
42	C	104
43	C	104
44	C	104
45	C	104
46	C	104
47	C	104
48	C	104
49	C	104
50	C	104
51	C	104
52	C	104
53	C	103
54	C	104
55	C	104
56	C	103
57	C	103
58	C	103
59	C	103
60	C	103
61	C	104
62	C	*
63	C	*
64	C	*
65	C	*
66	C	*
67	C	*
68	C	*
69	C	*
70	C	*
71	C	*
72	C	*
73	C	*
74	C	*
75	C	*
76	C	*
77	C	*
78	C	*
79	C	*
80	C	*
81	C	*
82	C	*
83	C	*
84	C	*
85	C	*
86	C	*
87	C	*
88	C	*
89	C	*
90	C	*
91	C	*
92	C	*
93	C	*
94	C	*
95	C	*
96	C	*
97	C	*
98	C	*
99	C	*
100	C	*
101	C	*
102	C	*
103	C	*
104	C	*
105	C	*
106	C	*
107	C	*
108	C	*
109	C	*
110	C	*
111	C	*
112	C	226
113	C	104
114	DD	74HC00
115	DD	CD4013
116	DD	74HC00
117	L	T50-2
118	L	T50-2
119	L	T50-2
120	L	T50-2
121	L	T50-2
122	L	T50-2
123	L	T50-2
124	L	T50-2
125	L	T50-2
126	L	T50-2
127	L	T50-2
128	L	T50-2
129	L	T50-2
130	L	T50-2
131	L	T50-2
132	R	472
133	R	821
134	R	101
135	R	272
136	R	102
137	R	101
138	R	272
139	R	272
140	R	821
141	R	100
142	R	822
143	R	331
144	R	103
145	R	103
146	R	102
147	R	472
148	R	472
149	R	472
150	R	472
151	R	331
152	R	102
153	R	472
154	R	472
155	R	472
156	R	472
157	R	472
158	R	22R
159	R	101
160	R	272
161	R	101
162	R	682
163	R	331
164	R	102
165	R	821
166	R	101
167	R	101
168	R	100
169	R	101
170	R	101
171	R	101
172	R	101
173	R	102
174	R	155
175	R	103
176	RL	HK19F-DC12V-SHG
177	RL	HK19F-DC12V-SHG
178	RL	HK19F-DC12V-SHG
179	RL	HK19F-DC12V-SHG
180	RL	HK19F-DC12V-SHG
181	RL	HK19F-DC12V-SHG
182	RL	HK19F-DC12V-SHG
183	RL	HK19F-DC12V-SHG
184	TR	13x7x5
185	TR	6x3x2
186	TR	6x3x2
187	TR	8x4x3
188	TR	8x4x3
189	VD	SBL2045CT
190	VD	4148
191	VD	4148
192	VD	4148
193	VD	4148
194	VD	4148
195	VR	102
196	VR	102
197	VRM	LM317
198	VRM	LM317M
199	VS	1.5KE15A
200	VT	IRFZ44N
201	VT	IRFZ44N
202	VT	3904
203	VT	7002
204	VT	7002
205	VT	7002
206	VT	7002
207	VT	7002
208	VT	7002
209	VT	3904
210	VT	7002
211	XS	U.FL-R-SMT
